iter	MAPE	RMSE
0	1.530173065	7771.077526
1	1.409342331	7257.090455
2	1.302746276	6808.977511
3	1.207093837	6366.420618
4	1.117754708	5979.139263
5	1.038404637	5644.55611
6	0.9675889614	5348.11481
7	0.9037435662	5091.236895
8	0.8397520397	4808.993734
9	0.7839826266	4570.337052
10	0.7352980812	4364.783459
11	0.6920398382	4201.203778
12	0.6474840691	4044.135403
13	0.6156284253	3916.336135
14	0.5837300394	3785.357513
15	0.5545535158	3673.112939
16	0.5285365186	3567.124255
17	0.5041068549	3486.844055
18	0.4831890191	3410.376306
19	0.4606019563	3343.372351
20	0.4438480554	3290.241285
21	0.4280063306	3237.480548
22	0.4153031008	3193.807431
23	0.4003584707	3144.844989
24	0.3849925223	3106.041736
25	0.3735727062	3074.294542
26	0.3654359983	3039.610703
27	0.3575702413	3010.857692
28	0.3464962147	2985.825011
29	0.3390234999	2964.749401
30	0.3314201389	2943.320695
31	0.321869652	2923.222168
32	0.3145919192	2908.914073
33	0.307388462	2890.126167
34	0.3022794984	2878.719178
35	0.296751761	2860.981018
36	0.2906804013	2848.974145
37	0.2853961443	2833.393521
38	0.2826523235	2823.079684
39	0.2799341115	2812.247776
40	0.2764409874	2802.14183
41	0.2732552039	2792.540638
42	0.2709876527	2775.684707
43	0.2674040279	2757.593657
44	0.2653128048	2744.060721
45	0.262641209	2728.580063
46	0.2613514036	2720.19058
47	0.2580656173	2713.145867
48	0.2562625422	2702.628657
49	0.2553081995	2692.638815
50	0.2534403553	2679.545423
51	0.2519893292	2664.233079
52	0.2497479775	2657.512946
53	0.248479411	2651.420035
54	0.2463797941	2645.493493
55	0.2452956736	2635.897933
56	0.2447598232	2627.693921
57	0.2442145484	2622.799482
58	0.2422251112	2617.294104
59	0.2415390598	2610.129919
60	0.2407531408	2604.862001
61	0.2405749975	2597.692166
62	0.2393311871	2591.501396
63	0.2379849752	2586.926865
64	0.2364490294	2577.933224
65	0.2361966334	2569.639992
66	0.2358152887	2567.338852
67	0.2346875951	2564.072025
68	0.2341216886	2557.268954
69	0.2330607947	2553.926548
70	0.2328282686	2545.285546
71	0.2325284156	2538.97803
72	0.2322904317	2533.269315
73	0.2316030859	2524.471377
74	0.2310052485	2518.928855
75	0.2306060149	2510.72154
76	0.2298383562	2506.920533
77	0.2286947876	2503.713057
78	0.2283147677	2496.236362
79	0.2270061095	2493.727653
80	0.226807679	2485.350778
81	0.2262090641	2481.606462
82	0.2258932971	2477.322132
83	0.2254963804	2474.841688
84	0.2249427392	2467.230488
85	0.2248695867	2462.588844
86	0.2245499791	2450.475135
87	0.2239928523	2443.619421
88	0.2237773583	2437.743961
89	0.2231800655	2430.313554
90	0.2229595696	2426.9647
91	0.2223017744	2423.628147
92	0.221319989	2418.402041
93	0.2205140817	2416.708267
94	0.2198245028	2413.192035
95	0.2197818924	2409.151166
96	0.2194171985	2401.094299
97	0.2192159678	2395.482574
98	0.2194553589	2390.241212
99	0.21916471	2387.908102
100	0.2182371508	2385.642455
101	0.2178794664	2384.271843
102	0.2173260991	2382.877273
103	0.2168475224	2376.421926
104	0.2165257398	2368.283011
105	0.2163534804	2365.542046
106	0.2160583701	2361.305545
107	0.215651132	2358.740406
108	0.2153730637	2355.247868
109	0.2152550425	2349.219087
110	0.2151396428	2346.891915
111	0.2147377046	2344.53152
112	0.2146475496	2341.255803
113	0.2141965019	2338.975758
114	0.2138050528	2333.885485
115	0.213348187	2327.906516
116	0.2131003268	2320.378766
117	0.2129491688	2315.833573
118	0.2128255438	2312.181387
119	0.2123017457	2309.428344
120	0.2119840006	2305.246618
121	0.2118853265	2301.074174
122	0.2113391641	2298.3309
123	0.2099812617	2297.300147
124	0.2094372104	2294.585392
125	0.2091332357	2288.588288
126	0.2088278348	2283.900649
127	0.2086004759	2278.135154
