vin,sellingprice
1g6dp567450124779,5059.8931251381855
1gtw7fca7e1902207,21684.781912622493
jn8az1mw6dw303497,19254.82546201822
2g1wf5e34d1160703,8855.741089181298
1n6aa0ec3dn301209,21539.862649905936
wvwvd63b93e175638,2722.047663450414
5npeb4ac4dh809686,12434.196733936158
1fm5k7b97dgb16454,13290.803312780374
jn1cv6ar5bm411441,17407.211785891952
3gnfc16j77g158033,8620.685312783255
2g1wb5e30d1140332,13859.10607205554
jf2sjadc1fh417932,23398.597377116064
1fmcu0f75eue15137,6685.631374673483
jn8az18w29w128991,12819.041620603024
3fadp4ejxcm158293,5548.420031924653
1fahp2e96dg230937,16129.053448899445
knaft4a24b5326931,6748.283025921161
wbaeb5c57ac225968,30840.5592229668
1gndt13sx62216518,4981.375481412046
3gcukrec4eg454516,27931.717923958473
kmhgc4ddxcu168540,16679.059361737553
2gnfleek4c6221421,13185.943711865326
ja32u1fu0du008397,9344.16472278021
1fbne3bl1eda46070,19682.620368254826
2b8gp54l01r117477,743.2874321931995
1fadp3f28el323070,12551.357071941768
1g3nl52f32c104253,1614.2880248149668
yv4992dz6a2034805,13870.534493867663
1gmdv33l15d274975,3915.0790331516364
3fahp0ha5cr314457,11081.193604488924
kndjp3a5xe7072298,14295.747052427205
jh4cu2f49cc003441,17782.897756891925
1g2zm177284122405,6709.288158175449
1hgcp2f38ba122870,13227.295381811098
1n4aa5ap0bc847988,16817.357493287866
jt2bf28kx10337262,2419.824977216009
2gtek13v961325160,8053.978902395293
1n4aa5ap7ac811245,15354.832877284074
1fadp3k25el151313,12576.285740150666
4t1bf1fk9eu774829,15073.61153274502
waugfafc2en098654,33281.38183465107
3fa6p0hr2dr238002,12007.296398718616
3fahp0ja5cr276738,10109.762800506667
2g1fa1e30d9157807,16258.83191112808
2t3bfrev4dw038526,17956.42284944584
5yfbu4ee8dp189095,11760.139588642867
yv1sz59h741164165,3783.221804522782
1hgcr2f84da020569,17620.87660508495
1c4njcba3fd124498,16257.094688785179
1n4aa51e09c834554,9398.501459905945
1fmfu17525la35873,6257.000946867884
3vw2k7aj6dm209150,9523.090288911173
5j6rm3h7xdl004568,21212.769128368946
waufgafb8an026867,19861.213541435114
3fahp0ha0cr307061,12389.0129790623
1lnhm87a82y644589,839.2302777948444
2hkrl18022h576543,2490.0599911443333
2t1burhe2ec210372,15042.947231309845
nm0ge9f77e1151554,23297.00138248859
5xxgr4a66dg133932,16758.420851690917
5j6re48348l033196,6924.307267528639
1gnlvfed5aj252374,12909.678408610489
1ftfw1e69dfd71401,32846.360720204306
kmhdh4ae8du795370,9097.539816658802
1n4al2ap3cn408119,12715.460121242091
waugn74f37n041255,17362.976094978927
5xykt3a63eg479116,16201.017502970599
4t1bf3ek2au532729,8814.397029782805
knafx4a62e5225883,11685.179112308
jnkcv51e63m329092,3663.6724048093583
jn1by1ar2cm394735,26390.223759815173
1j4fa59s0yp723644,3933.8906492894566
1fahp3f28cl166154,8254.006309338616
jtebu4bf2bk113263,24673.270870525048
2c4rc1gg7er180355,25191.49051353376
2hges16374h588764,2615.2844291160764
wddgf81x78f169485,16060.19415191264
2c4rdgcg3er388917,16640.741104800316
1n4al2ap5cn424564,10944.09327337352
1ftfw1et8cfb48321,26702.655188325858
3fa6p0h71er259567,16932.858531462225
1c3cdzab7dn610562,9578.503330516705
1c6rd7ft7cs204333,12100.81400229139
5npeb4ac3ch290449,11789.249818191838
1ftfw1ef3bfc35956,26327.28400656263
jf1znaa10d1719373,17885.502710808225
2c4rdgegxer431226,19543.95527686135
1n4al3ap9ec105740,13722.856485181968
wbxpa73464wc36440,3512.14949976804
yv440mdb2f2610299,29492.22781063155
2c3ccakt9eh306087,25030.706281194507
2d4fv47tx6h156976,2575.298751614004
1fbss3bl5edb01101,22806.951279935405
1ftww31p86ec33609,16085.474983626995
1g6dw677x50225462,4055.7907645916493
1ftfw1r69dfb74948,41118.29512851076
1fahp2e82eg107578,19583.86388995931
jn1cv6ek3cm422386,22518.142605901652
3fa6p0h7xdr271747,13880.630893558546
1g6dw677550216409,5552.300532149197
